,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
276 ,Max-Alain Gradel ,Forward,14 ,,,23 ,,,7 ,13 ,5 ,2 ,,,,,,,,,,2 ,286 ,20 ,0 ,46 ,,,,1 ,0 ,11 ,3 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,18 ,6 ,0 ,2 ,,,,,,,,
277 ,Conor Grant ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
278 ,Jake Gray ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
279 ,Jack Grealish ,Midfielder,16 ,,,6 ,1 ,,8 ,14 ,1 ,0 ,,55 ,48 ,54 ,24 ,1 ,11 ,,0 ,0 ,316 ,20 ,1 ,20 ,0 ,0 ,11 ,1 ,0 ,6 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,16 ,4 ,0 ,0 ,,,,,,,,
280 ,Andre Green ,Midfielder,2 ,,,2 ,1 ,,1 ,3 ,0 ,0 ,,6 ,4 ,7 ,2 ,0 ,0 ,,0 ,0 ,23 ,12 ,0 ,8 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,,,,,,,,
281 ,Rees Greenwood ,Midfielder,1 ,,,1 ,1 ,,0 ,2 ,0 ,0 ,,2 ,2 ,3 ,1 ,0 ,1 ,,0 ,0 ,23 ,23 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
282 ,Matt Grimes ,Midfielder,1 ,,,1 ,0 ,,1 ,0 ,0 ,0 ,,3 ,3 ,8 ,0 ,1 ,2 ,,0 ,0 ,44 ,44 ,0 ,1 ,0 ,0 ,5 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,,,,,,,,
283 ,Marko Grujic ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
284 ,Adlène Guédioura ,Midfielder,18 ,,,13 ,1 ,,2 ,16 ,1 ,1 ,,51 ,43 ,52 ,12 ,12 ,15 ,,0 ,2 ,251 ,14 ,1 ,43 ,0 ,1 ,13 ,2 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,3 ,0 ,0 ,,,,,,,,
285 ,Idrissa Gueye ,Midfielder,35 ,,,144 ,1 ,,10 ,141 ,30 ,11 ,,344 ,295 ,199 ,69 ,31 ,27 ,,1 ,1 ,1869 ,53 ,0 ,15 ,0 ,3 ,94 ,10 ,0 ,68 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30 ,4 ,0 ,0 ,,,,,,,,
286 ,Brad Guzan ,Goalkeeper,28 ,2 ,58 ,,,,,,,,,,,,,,,0 ,3 ,0 ,721 ,26 ,,,,,264 ,2 ,0 ,0 ,,0 ,,,,,,,,,,,,89 ,0 ,19 ,54 ,12 ,18 ,117 ,225 
287 ,Ben Hamer ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
288 ,Dean Hammond ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
