,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
0 ,Max Aarons ,Defender,36 ,5 ,71 ,48 ,1 ,0 ,6 ,37 ,73 ,28 ,2 ,178 ,167 ,175 ,48 ,22 ,50 ,0 ,0 ,1 ,1339 ,37 ,7 ,73 ,0 ,0 ,38 ,7 ,0 ,29 ,3 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
1 ,Abdul Rahman Baba ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
2 ,Tammy Abraham ,Forward,34 ,,,8 ,,,14 ,6 ,27 ,23 ,,,,,,,,,,3 ,407 ,12 ,3 ,11 ,,,,2 ,0 ,17 ,23 ,15 ,3 ,12 ,0 ,3 ,0 ,0 ,0 ,88 ,40 ,0 ,22 ,,,,,,,,
3 ,Che Adams ,Forward,30 ,,,6 ,,,14 ,2 ,9 ,3 ,,,,,,,,,,2 ,248 ,8 ,5 ,13 ,,,,0 ,0 ,17 ,10 ,4 ,0 ,4 ,0 ,1 ,0 ,0 ,0 ,36 ,10 ,0 ,8 ,,,,,,,,
4 ,Dennis Adeniran ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
5 ,Albert Adomah ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
6 ,Adrián ,Goalkeeper,11 ,2 ,10 ,,,,,,,,,,,,,,,0 ,2 ,0 ,260 ,24 ,,,,,50 ,1 ,0 ,0 ,,0 ,,,,,,,,,,,,18 ,0 ,4 ,5 ,1 ,9 ,51 ,70 
7 ,Adrien Silva ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
8 ,Daniel Adshead ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
9 ,Benik Afobe ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
10 ,Sergio Agüero ,Forward,24 ,,,7 ,,,22 ,3 ,2 ,0 ,,,,,,,,,,3 ,354 ,15 ,4 ,9 ,,,,1 ,0 ,9 ,6 ,16 ,2 ,12 ,2 ,5 ,1 ,2 ,0 ,76 ,28 ,0 ,12 ,,,,,,,,
11 ,Daniel Agyei ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
12 ,Soufyan Ahannach ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
13 ,Ahmed El Mohamady ,Defender,18 ,2 ,28 ,19 ,0 ,0 ,1 ,13 ,22 ,10 ,0 ,73 ,60 ,51 ,7 ,30 ,21 ,0 ,0 ,1 ,498 ,28 ,3 ,58 ,0 ,0 ,33 ,1 ,0 ,13 ,2 ,1 ,1 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
