,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
14 ,Albian Ajeti ,Forward,9 ,,,1 ,,,2 ,0 ,0 ,0 ,,,,,,,,,,0 ,15 ,2 ,0 ,0 ,,,,0 ,0 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,,,,,,,,
15 ,Nathan Aké ,Defender,29 ,4 ,46 ,31 ,1 ,0 ,6 ,36 ,147 ,78 ,0 ,140 ,107 ,83 ,3 ,62 ,63 ,0 ,0 ,2 ,1210 ,42 ,2 ,5 ,0 ,1 ,53 ,2 ,0 ,9 ,3 ,2 ,1 ,0 ,1 ,1 ,,,,,,,,,,,,,,,
16 ,Alberto Moreno ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
17 ,Marc Albrighton ,Midfielder,20 ,,,24 ,1 ,,3 ,10 ,7 ,4 ,,67 ,52 ,63 ,14 ,3 ,7 ,,0 ,3 ,407 ,20 ,5 ,69 ,0 ,3 ,23 ,2 ,0 ,7 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,10 ,2 ,0 ,0 ,,,,,,,,
18 ,Toby Alderweireld ,Defender,33 ,7 ,39 ,40 ,1 ,0 ,3 ,31 ,170 ,82 ,1 ,154 ,117 ,109 ,0 ,73 ,73 ,1 ,0 ,2 ,1978 ,60 ,2 ,9 ,0 ,12 ,141 ,7 ,0 ,18 ,1 ,2 ,1 ,1 ,0 ,0 ,,,,,,,,,,,,,,,
19 ,Aleix García ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
20 ,Trent Alexander-Arnold ,Defender,38 ,12 ,32 ,55 ,1 ,1 ,17 ,45 ,70 ,29 ,0 ,221 ,100 ,135 ,21 ,16 ,30 ,0 ,1 ,13 ,2440 ,64 ,18 ,382 ,0 ,5 ,192 ,5 ,0 ,22 ,3 ,4 ,0 ,4 ,0 ,0 ,,,,,,,,,,,,,,,
21 ,Ali Koiki ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
22 ,Alisson ,Goalkeeper,29 ,13 ,23 ,,,,,,,,,,,,,,,0 ,1 ,1 ,805 ,28 ,,,,,115 ,0 ,1 ,1 ,,0 ,,,,,,,,,,,,58 ,0 ,9 ,7 ,6 ,19 ,140 ,167 
23 ,Allan ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
24 ,Dele Alli ,Midfielder,25 ,,,34 ,0 ,,7 ,17 ,14 ,8 ,,103 ,115 ,150 ,29 ,19 ,40 ,,0 ,4 ,810 ,32 ,6 ,7 ,0 ,4 ,17 ,2 ,0 ,12 ,6 ,8 ,0 ,6 ,2 ,0 ,0 ,1 ,0 ,42 ,19 ,0 ,7 ,,,,,,,,
25 ,Miguel Almirón ,Midfielder,36 ,,,60 ,1 ,,19 ,31 ,16 ,7 ,,189 ,174 ,170 ,46 ,10 ,28 ,,0 ,2 ,829 ,23 ,3 ,41 ,0 ,2 ,20 ,5 ,0 ,30 ,24 ,4 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,56 ,17 ,0 ,9 ,,,,,,,,
26 ,Marcos Alonso ,Defender,18 ,5 ,18 ,28 ,1 ,0 ,11 ,20 ,25 ,15 ,0 ,96 ,97 ,80 ,12 ,42 ,31 ,0 ,0 ,2 ,908 ,50 ,4 ,66 ,0 ,1 ,26 ,4 ,0 ,16 ,2 ,4 ,1 ,0 ,3 ,1 ,,,,,,,,,,,,,,,
27 ,Steven Alzate ,Midfielder,19 ,,,33 ,,,6 ,14 ,11 ,9 ,,,,,,,,,,0 ,603 ,32 ,0 ,8 ,,,,1 ,0 ,17 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,3 ,0 ,1 ,,,,,,,,
28 ,Ibrahim Amadou ,Midfielder,11 ,,,18 ,1 ,,0 ,16 ,55 ,31 ,,39 ,38 ,31 ,2 ,16 ,13 ,,0 ,0 ,369 ,34 ,0 ,1 ,1 ,0 ,15 ,1 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,1 ,0 ,1 ,,,,,,,,
29 ,Daniel Amartey ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
30 ,Luke Amos ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
31 ,Ethan Ampadu ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
32 ,Joseph Anang ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
33 ,Florin Andone ,Forward,3 ,,,1 ,,,0 ,0 ,1 ,1 ,,,,,,,,,,0 ,12 ,4 ,0 ,0 ,,,,0 ,1 ,2 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,,,,,,,,
34 ,André Gomes ,Midfielder,19 ,,,22 ,1 ,,0 ,7 ,6 ,4 ,,122 ,83 ,137 ,25 ,17 ,12 ,,0 ,1 ,851 ,45 ,1 ,12 ,0 ,3 ,85 ,6 ,0 ,38 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,,,,,,,,
35 ,Andreas Pereira ,Midfielder,25 ,,,24 ,1 ,,9 ,7 ,5 ,1 ,,85 ,70 ,142 ,20 ,10 ,34 ,,0 ,3 ,703 ,28 ,6 ,65 ,0 ,2 ,30 ,3 ,0 ,27 ,3 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,37 ,14 ,0 ,1 ,,,,,,,,
36 ,Angel Gomes ,Midfielder,2 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,1 ,0 ,0 ,0 ,,0 ,0 ,13 ,7 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
37 ,Angeliño ,Defender,6 ,0 ,7 ,5 ,0 ,0 ,2 ,9 ,15 ,7 ,0 ,29 ,17 ,15 ,4 ,6 ,7 ,0 ,0 ,0 ,338 ,56 ,3 ,43 ,0 ,0 ,7 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,,,,,,,,,,,,,,,
38 ,Faustino Anjorin ,Midfielder,1 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,1 ,2 ,2 ,1 ,0 ,0 ,,0 ,0 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,,,,,,,,
39 ,Michail Antonio ,Forward,24 ,,,13 ,1 ,,14 ,9 ,5 ,5 ,,62 ,201 ,233 ,65 ,91 ,109 ,,0 ,3 ,446 ,19 ,7 ,48 ,0 ,5 ,9 ,3 ,0 ,41 ,11 ,10 ,2 ,7 ,1 ,2 ,0 ,1 ,0 ,68 ,31 ,0 ,14 ,,,,,,,,
40 ,Cameron Archer ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
41 ,Stuart Armstrong ,Midfielder,30 ,,,32 ,1 ,,11 ,11 ,22 ,9 ,,106 ,95 ,131 ,30 ,14 ,30 ,,0 ,3 ,579 ,19 ,2 ,23 ,0 ,2 ,12 ,4 ,0 ,25 ,4 ,5 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,46 ,20 ,0 ,1 ,,,,,,,,
42 ,Marko Arnautovic ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
43 ,Kepa Arrizabalaga ,Goalkeeper,33 ,8 ,47 ,,,,,,,,,,,,,,,0 ,0 ,0 ,938 ,28 ,,,,,131 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,55 ,0 ,5 ,20 ,2 ,12 ,151 ,198 
44 ,Harry Arter ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
45 ,Daniel Arzani ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
46 ,Benny Ashley-Seal ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
47 ,Daniel Atherton ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
48 ,Christian Atsu ,Midfielder,19 ,,,10 ,1 ,,1 ,5 ,6 ,4 ,,42 ,42 ,71 ,16 ,7 ,14 ,,0 ,3 ,198 ,10 ,2 ,17 ,0 ,1 ,5 ,2 ,0 ,11 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,1 ,0 ,0 ,,,,,,,,
49 ,Pierre-Emerick Aubameyang ,Forward,36 ,,,31 ,,,23 ,14 ,13 ,4 ,,,,,,,,,,3 ,817 ,23 ,7 ,89 ,,,,3 ,1 ,14 ,20 ,22 ,3 ,16 ,3 ,4 ,1 ,2 ,1 ,93 ,42 ,0 ,10 ,,,,,,,,
50 ,Serge Aurier ,Defender,33 ,6 ,32 ,93 ,1 ,0 ,6 ,47 ,84 ,48 ,0 ,165 ,224 ,187 ,39 ,70 ,64 ,1 ,1 ,5 ,1281 ,39 ,4 ,137 ,0 ,0 ,33 ,2 ,1 ,41 ,6 ,1 ,0 ,0 ,1 ,0 ,,,,,,,,,,,,,,,
51 ,Charlie Austin ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
52 ,Taiwo Awoniyi ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
53 ,Jordan Ayew ,Forward,37 ,,,48 ,,,14 ,15 ,20 ,15 ,,,,,,,,,,2 ,814 ,22 ,4 ,25 ,,,,6 ,0 ,59 ,9 ,9 ,1 ,7 ,1 ,1 ,0 ,0 ,0 ,58 ,24 ,0 ,5 ,,,,,,,,
54 ,César Azpilicueta ,Defender,36 ,7 ,53 ,86 ,1 ,0 ,9 ,67 ,81 ,40 ,1 ,172 ,205 ,158 ,12 ,93 ,64 ,0 ,0 ,6 ,2435 ,68 ,8 ,121 ,0 ,0 ,80 ,1 ,0 ,40 ,3 ,2 ,0 ,2 ,0 ,0 ,,,,,,,,,,,,,,,
55 ,Daniel Bachmann ,Goalkeeper,0 ,0 ,0 ,,,,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
56 ,Owen Bailey ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
57 ,Eric Bailly ,Defender,4 ,1 ,1 ,0 ,0 ,0 ,0 ,4 ,7 ,3 ,0 ,9 ,9 ,3 ,1 ,8 ,0 ,0 ,0 ,0 ,78 ,20 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
58 ,Leighton Baines ,Defender,8 ,0 ,8 ,10 ,1 ,0 ,0 ,5 ,10 ,4 ,0 ,17 ,21 ,14 ,2 ,5 ,7 ,0 ,0 ,0 ,155 ,19 ,1 ,27 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
59 ,Tiemoué Bakayoko ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
60 ,Lewis Baker ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
61 ,Fabián Balbuena ,Defender,17 ,3 ,24 ,17 ,1 ,0 ,2 ,26 ,71 ,43 ,0 ,65 ,74 ,59 ,2 ,54 ,37 ,0 ,2 ,0 ,503 ,30 ,1 ,1 ,0 ,1 ,35 ,2 ,0 ,6 ,0 ,1 ,0 ,1 ,0 ,0 ,,,,,,,,,,,,,,,
62 ,George Baldock ,Defender,38 ,13 ,39 ,62 ,1 ,0 ,3 ,34 ,69 ,35 ,0 ,167 ,186 ,172 ,42 ,39 ,57 ,0 ,1 ,3 ,1118 ,29 ,2 ,128 ,0 ,0 ,22 ,7 ,0 ,47 ,11 ,2 ,0 ,2 ,0 ,0 ,,,,,,,,,,,,,,,
63 ,Folarin Balogun ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
64 ,Tudor Baluta ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
65 ,Beni Baningime ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
66 ,Scott Banks ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
67 ,Ben Barclay ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
68 ,Phil Bardsley ,Defender,21 ,9 ,19 ,49 ,1 ,0 ,4 ,30 ,66 ,36 ,1 ,80 ,102 ,77 ,4 ,38 ,26 ,0 ,0 ,1 ,658 ,31 ,3 ,33 ,0 ,3 ,49 ,6 ,0 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
69 ,Ross Barkley ,Midfielder,21 ,,,16 ,1 ,,16 ,7 ,7 ,3 ,,69 ,70 ,80 ,27 ,12 ,13 ,,0 ,4 ,618 ,29 ,2 ,12 ,0 ,6 ,39 ,0 ,0 ,9 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,40 ,12 ,0 ,3 ,,,,,,,,
70 ,Ashley Barnes ,Forward,19 ,,,10 ,,,8 ,6 ,8 ,4 ,,,,,,,,,,0 ,251 ,13 ,0 ,5 ,,,,4 ,0 ,35 ,13 ,6 ,0 ,6 ,0 ,0 ,0 ,1 ,0 ,40 ,12 ,0 ,7 ,,,,,,,,
71 ,Antonio Barreca ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
72 ,Mason Barrett ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
73 ,Chris Basham ,Defender,38 ,12 ,37 ,85 ,1 ,0 ,0 ,77 ,167 ,102 ,0 ,188 ,247 ,140 ,24 ,109 ,62 ,0 ,1 ,1 ,1316 ,35 ,2 ,51 ,0 ,0 ,70 ,4 ,0 ,26 ,5 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
74 ,Calvin Bassey ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
75 ,Lewis Bate ,Midfielder,0 ,,,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
76 ,Michy Batshuayi ,Forward,16 ,,,4 ,,,4 ,0 ,1 ,1 ,,,,,,,,,,1 ,78 ,5 ,0 ,0 ,,,,0 ,0 ,4 ,7 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,15 ,2 ,0 ,4 ,,,,,,,,
77 ,Danny Batth ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
