,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
0 ,Rolando Aarons ,Midfielder,4 ,,,4 ,1 ,,0 ,1 ,0 ,0 ,,9 ,12 ,14 ,4 ,1 ,3 ,,0 ,0 ,41 ,10 ,0 ,2 ,1 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,,,,,,,,
1 ,Abdul Rahman Baba ,Defender,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,
2 ,Tammy Abraham ,Forward,31 ,,,10 ,,,11 ,1 ,11 ,8 ,,,,,,,,,,1 ,300 ,10 ,3 ,13 ,,,,0 ,0 ,15 ,9 ,5 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,42 ,15 ,0 ,4 ,,,,,,,,
3 ,Charlie Adam ,Midfielder,11 ,,,9 ,1 ,,3 ,9 ,9 ,5 ,,40 ,36 ,29 ,12 ,7 ,5 ,,1 ,0 ,246 ,22 ,3 ,30 ,0 ,3 ,23 ,2 ,1 ,8 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,10 ,3 ,0 ,1 ,,,,,,,,
4 ,Adrián ,Goalkeeper,19 ,6 ,29 ,,,,,,,,,,,,,,,0 ,0 ,0 ,520 ,27 ,,,,,174 ,2 ,0 ,1 ,,0 ,,,,,,,,,,,,69 ,0 ,6 ,9 ,2 ,15 ,47 ,184 
5 ,Adrien Silva ,Midfielder,12 ,,,22 ,1 ,,5 ,14 ,0 ,0 ,,58 ,47 ,68 ,6 ,11 ,19 ,,0 ,1 ,433 ,36 ,1 ,4 ,0 ,3 ,19 ,3 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,2 ,0 ,0 ,,,,,,,,
6 ,Ibrahim Afellay ,Midfielder,6 ,,,3 ,1 ,,0 ,1 ,1 ,1 ,,15 ,4 ,5 ,1 ,0 ,0 ,,0 ,0 ,81 ,14 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
7 ,Benik Afobe ,Forward,17 ,,,4 ,,,4 ,0 ,6 ,5 ,,,,,,,,,,0 ,152 ,9 ,0 ,2 ,,,,0 ,0 ,9 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,3 ,0 ,2 ,,,,,,,,
8 ,Sergio Agüero ,Forward,25 ,,,9 ,,,20 ,6 ,3 ,1 ,,,,,,,,,,6 ,628 ,25 ,10 ,16 ,,,,2 ,0 ,10 ,16 ,21 ,5 ,15 ,1 ,3 ,1 ,4 ,0 ,94 ,42 ,0 ,13 ,,,,,,,,
9 ,Daniel Agyei ,Forward,0 ,,,0 ,,,0 ,0 ,0 ,0 ,,,,,,,,,,0 ,0 ,0 ,0 ,0 ,,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,
